title;text;image;link;footer;header;tag
Quilombos de Pinheiro;"As histórias das comunidades quilombolas de Pinheiro, município da Baixada Maranhense,  foram o ponto de partida de dois projetos que realizamos na região, sendo um de pesquisa (Diagnóstico, Alcance e  Avaliação das Políticas Públicas do Programa Brasil Quilombola em Pinheiro, Maranhão) e  outro de extensão (Acesso às políticas públicas do Programa Brasil Quilombola:  mecanismos de desenvolvimento em comunidades quilombolas de Pinheiro, Maranhão). Tivemos bons resultados, como o acesso de oito comunicades à Certificação pela Fundação Palmares. Conto mais detalhes no site do projeto (só clicar na imagem). 

​";images/quilombo.jpg;https://tadeugteixeira.wixsite.com/quilombosdepinheiro;;;Extensao
Projeto Piloto de Iniciação Científica à Distancia (UAB);O Projeto Piloto de Iniciação Científica foi uma parceria estabelecida entre a Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES) e a Universidade Federal do Maranhão (UFMA) por meio da Diretoria Interdisciplinar de Tecnologia na Educação (DTED) para propor, de forma experimental, atividades e ações de Iniciação Científica para alunos de polos da Universidade Aberta do Brasil no estado do Maranhão. Dessa forma, o projeto foi implantado em 2020 com o objetivo de implantar em polos da UAB ações de iniciação científica na modalidade a distância. Veja mais detalhes e resultados do site do projeto!;images/projeto-pibic.png;https://pibicuabmaranhao.com.br/;;;Ensino
